destroyer,6837,3703,50,75
blaster,6345,419,50,25
destroyer,2585,1103,50,75
destroyer,7829,4156,50,75
blaster,5460,6147,50,25
blaster,7391,5076,50,25
speeder,1113,1582,30,20
blaster,5570,6371,50,25
blaster,3106,9554,50,25
destroyer,6927,9599,50,75
speeder,4180,2318,30,20
boss,179,3818,100,75
blaster,1107,7991,50,25
blaster,4271,4180,50,25
boss,442,2862,100,75
blaster,2710,7937,50,25
speeder,831,4921,30,20
blaster,7554,1495,50,25
blaster,1892,1131,50,25
destroyer,3816,1337,50,75
speeder,2683,9502,30,20
boss,2810,8865,100,75
speeder,1949,67,30,20
speeder,6880,4628,30,20
speeder,3006,2398,30,20
destroyer,7735,3235,50,75
blaster,6807,9267,50,25
blaster,7218,9457,50,25
speeder,6600,2597,30,20
blaster,3814,6118,50,25
destroyer,6305,1541,50,75
destroyer,4909,1548,50,75
blaster,7734,7911,50,25
destroyer,2363,2287,50,75
speeder,5005,5550,30,20
destroyer,7192,5125,50,75
boss,2875,9482,100,75
speeder,1431,4663,30,20
boss,134,2002,100,75
destroyer,1434,9667,50,75
blaster,4820,7534,50,25
speeder,1090,6412,30,20
speeder,3040,4030,30,20
blaster,3843,5540,50,25
boss,3616,4263,100,75
blaster,6108,1471,50,25
destroyer,2085,9517,50,75
destroyer,5436,3627,50,75
speeder,2212,4830,30,20
destroyer,7568,6897,50,75
blaster,2674,3467,50,25
destroyer,7861,7865,50,75
blaster,7915,7632,50,25
blaster,431,157,50,25
destroyer,7651,6743,50,75
boss,223,9891,100,75
blaster,2551,7253,50,25
boss,3811,5889,100,75
blaster,6852,2959,50,25
destroyer,6239,2423,50,75
blaster,1127,6335,50,25
blaster,2221,8039,50,25
blaster,715,9492,50,25
blaster,1498,8496,50,25
speeder,4058,4303,30,20
blaster,4852,1142,50,25
boss,4063,6735,100,75
speeder,46,5199,30,20
blaster,3325,6559,50,25
blaster,7547,1247,50,25
blaster,462,6668,50,25
speeder,4218,4432,30,20
blaster,15,2544,50,25
destroyer,388,4959,50,75
boss,7455,7343,100,75
boss,355,6001,100,75
boss,1817,4347,100,75
blaster,7856,2180,50,25
blaster,7664,8062,50,25
blaster,1262,6174,50,25
speeder,7539,4171,30,20
destroyer,1817,5863,50,75
speeder,984,2553,30,20
boss,4139,33,100,75
speeder,1671,6133,30,20
destroyer,1891,2304,50,75
boss,3832,322,100,75
blaster,3284,954,50,25
blaster,7246,52,50,25
blaster,2307,616,50,25
destroyer,4484,2410,50,75
blaster,1063,2542,50,25
destroyer,2244,1802,50,75
speeder,1162,2400,30,20
blaster,6711,3790,50,25
speeder,1060,1504,30,20
speeder,4233,375,30,20
destroyer,3813,3839,50,75
blaster,3379,5137,50,25
blaster,5960,7318,50,25
boss,5889,2842,100,75
blaster,1174,5570,50,25
blaster,2671,3832,50,25
blaster,6471,7343,50,25
blaster,5555,4885,50,25
boss,491,9060,100,75
blaster,7169,1014,50,25
blaster,3013,3580,50,25
blaster,6802,9433,50,25
blaster,1030,1413,50,25
speeder,6320,9608,30,20
blaster,4964,2069,50,25
blaster,4204,1465,50,25
destroyer,5126,7785,50,75
blaster,4305,1148,50,25
speeder,7341,3357,30,20
destroyer,4715,2891,50,75
speeder,4938,4230,30,20
destroyer,5381,3827,50,75
blaster,4678,5662,50,25
blaster,2903,4584,50,25
speeder,3356,6004,30,20
speeder,133,2285,30,20
blaster,788,4048,50,25
boss,1542,7199,100,75
blaster,5164,5567,50,25
boss,2500,8799,100,75
blaster,6690,1225,50,25
blaster,3745,6945,50,25
boss,2285,4275,100,75
blaster,6924,5308,50,25
blaster,6503,8331,50,25
blaster,2504,4560,50,25
blaster,2439,4571,50,25
blaster,4216,1446,50,25
speeder,1343,3712,30,20
blaster,373,4719,50,25
boss,3174,3428,100,75
blaster,5740,3025,50,25
boss,951,9312,100,75
blaster,72,4446,50,25
speeder,52,3142,30,20
blaster,7651,9864,50,25
blaster,5411,6851,50,25
speeder,7014,4148,30,20
blaster,7423,5475,50,25
boss,2999,306,100,75
blaster,7303,3974,50,25
blaster,5408,6096,50,25
speeder,1048,3248,30,20
destroyer,4683,9374,50,75
blaster,3014,658,50,25
blaster,2176,420,50,25
blaster,2348,4512,50,25
blaster,4542,9841,50,25
speeder,5069,8032,30,20
destroyer,7499,4976,50,75
speeder,4688,2151,30,20
blaster,6325,797,50,25
blaster,6838,1871,50,25
destroyer,5636,4446,50,75
speeder,4013,9260,30,20
blaster,4772,7744,50,25
blaster,7691,445,50,25
destroyer,171,1182,50,75
boss,2744,4394,100,75
speeder,3831,7893,30,20
blaster,3512,521,50,25
blaster,5302,4218,50,25
blaster,4915,5492,50,25
blaster,1761,3357,50,25
blaster,7159,8416,50,25
boss,7156,3349,100,75
speeder,168,8939,30,20
blaster,2542,6559,50,25
destroyer,5327,9008,50,75
destroyer,4375,5366,50,75
destroyer,3197,4031,50,75
speeder,3942,5004,30,20
speeder,6646,7489,30,20
blaster,6466,3931,50,25
blaster,4162,9150,50,25
boss,6479,6614,100,75
blaster,4435,8968,50,25
boss,5401,3135,100,75
blaster,128,41,50,25
blaster,3055,1940,50,25
boss,3615,7652,100,75
blaster,3853,5937,50,25
speeder,4759,9077,30,20
blaster,5661,5399,50,25
destroyer,765,9797,50,75
blaster,2272,1952,50,25
destroyer,5507,3078,50,75
speeder,3096,5707,30,20
blaster,4666,3580,50,25
destroyer,3895,2439,50,75
boss,1751,6781,100,75
destroyer,5635,2405,50,75
blaster,4627,115,50,25
blaster,5458,4683,50,25
blaster,7379,7167,50,25
speeder,1631,1129,30,20
blaster,1452,9312,50,25
blaster,260,5207,50,25
blaster,5638,9341,50,25
destroyer,2598,6874,50,75
destroyer,3095,2848,50,75
blaster,338,6456,50,25
boss,107,3020,100,75
destroyer,1688,1212,50,75
blaster,7156,7926,50,25
blaster,7276,1845,50,25
blaster,4973,6123,50,25
destroyer,350,2030,50,75
boss,5787,7924,100,75
blaster,3378,7080,50,25
blaster,3616,3010,50,25
speeder,5749,1090,30,20
destroyer,2557,4263,50,75
boss,6475,5094,100,75
speeder,1089,4970,30,20
blaster,4289,653,50,25
boss,7701,5933,100,75
blaster,2074,2941,50,25
boss,7535,5650,100,75
speeder,155,3622,30,20
blaster,3014,4324,50,25
boss,5565,5233,100,75
blaster,6469,6455,50,25
destroyer,4792,6386,50,75
speeder,7268,8944,30,20
blaster,3069,3161,50,25
speeder,5559,5388,30,20
speeder,2752,4300,30,20
boss,2792,8138,100,75
boss,1147,1529,100,75
blaster,3587,4508,50,25
blaster,6076,6560,50,25
speeder,7560,658,30,20
destroyer,4701,2837,50,75
speeder,7426,8439,30,20
blaster,4663,6065,50,25
speeder,5146,5243,30,20
blaster,3677,5569,50,25
blaster,1283,734,50,25
destroyer,1076,9190,50,75
speeder,1692,1131,30,20
blaster,2576,1755,50,25
blaster,6182,1676,50,25
blaster,7371,4013,50,25
blaster,1757,4308,50,25
blaster,2264,1893,50,25
boss,3198,481,100,75
destroyer,1707,254,50,75
blaster,445,4460,50,25
speeder,5148,1939,30,20
blaster,6513,9544,50,25
destroyer,2316,6257,50,75
boss,3022,1081,100,75
blaster,7184,6555,50,25
speeder,1730,4780,30,20
blaster,6152,6005,50,25
blaster,7206,5604,50,25
blaster,1506,1649,50,25
blaster,6281,7285,50,25
blaster,692,9896,50,25
blaster,658,8007,50,25
blaster,6246,842,50,25
blaster,2607,2386,50,25
blaster,5335,6086,50,25
blaster,2397,5893,50,25
destroyer,4364,8673,50,75
blaster,4371,601,50,25
blaster,4069,777,50,25
speeder,7394,1980,30,20
blaster,1037,5612,50,25
blaster,5271,1139,50,25
destroyer,4342,1631,50,75
destroyer,3373,1177,50,75
speeder,3146,4461,30,20
blaster,2762,6644,50,25
boss,1401,6517,100,75
blaster,4412,4153,50,25
blaster,7098,129,50,25
blaster,4918,4733,50,25
boss,3219,2149,100,75
blaster,7617,9549,50,25
boss,7288,7946,100,75
destroyer,7240,3361,50,75
blaster,6840,8078,50,25
blaster,5713,2980,50,25
blaster,5854,2895,50,25
boss,5004,1085,100,75
speeder,6450,7751,30,20
speeder,7046,2436,30,20
speeder,3133,280,30,20
blaster,1295,7304,50,25
blaster,293,2250,50,25
speeder,5715,1947,30,20
blaster,5188,3473,50,25
blaster,358,689,50,25
speeder,1679,6405,30,20
blaster,3422,4264,50,25
blaster,7119,7063,50,25
destroyer,7292,6448,50,75
blaster,6100,7494,50,25
blaster,2572,1751,50,25
blaster,5490,3967,50,25
blaster,7074,2824,50,25
blaster,5769,3246,50,25
blaster,4761,7446,50,25
speeder,5943,6898,30,20
boss,2215,4119,100,75
blaster,5269,6715,50,25
destroyer,7657,5496,50,75
speeder,7927,332,30,20
speeder,4227,8643,30,20
boss,1148,9386,100,75
blaster,832,802,50,25
boss,148,5912,100,75
blaster,7347,9510,50,25
blaster,1860,7170,50,25
blaster,1317,6801,50,25
blaster,6857,5648,50,25
speeder,2767,8825,30,20
blaster,1653,3759,50,25
blaster,374,5211,50,25
blaster,5653,515,50,25
blaster,7046,8872,50,25
blaster,4812,4434,50,25
boss,1723,6365,100,75
destroyer,7385,7627,50,75
blaster,3926,5952,50,25
blaster,4105,216,50,25
speeder,3521,8728,30,20
blaster,5294,1877,50,25
destroyer,782,1424,50,75
blaster,7251,4213,50,25
blaster,190,1283,50,25
destroyer,3620,2795,50,75
blaster,629,9094,50,25
boss,7422,2608,100,75
blaster,7692,8475,50,25
speeder,4805,6322,30,20
speeder,6141,8505,30,20
blaster,7432,9021,50,25
blaster,975,8094,50,25
destroyer,3728,2838,50,75
speeder,7295,4062,30,20
blaster,749,7394,50,25
blaster,5276,4543,50,25
speeder,5640,9422,30,20
blaster,827,3292,50,25
blaster,1525,3690,50,25
destroyer,4105,9530,50,75
blaster,2314,4052,50,25
blaster,2126,8851,50,25
speeder,7316,4827,30,20
blaster,1734,9229,50,25
blaster,4582,6274,50,25
blaster,3166,3940,50,25
blaster,2612,5353,50,25
boss,3534,4341,100,75
blaster,5523,5093,50,25
speeder,7148,7952,30,20
blaster,999,3569,50,25
boss,1592,5534,100,75
blaster,2736,7655,50,25
blaster,699,3473,50,25
speeder,5084,6209,30,20
speeder,1374,7167,30,20
blaster,2193,5011,50,25
boss,3467,8398,100,75
speeder,3665,258,30,20
destroyer,7377,3082,50,75
boss,851,1158,100,75
blaster,1122,1405,50,25
boss,6513,2549,100,75
blaster,3063,4370,50,25
speeder,5716,9740,30,20
boss,873,398,100,75
blaster,6507,890,50,25
blaster,3390,63,50,25
speeder,6543,7337,30,20
speeder,5693,1663,30,20
blaster,4025,8979,50,25
blaster,2089,6252,50,25
blaster,1613,6895,50,25
blaster,368,3397,50,25
boss,756,6245,100,75
blaster,1705,7446,50,25
blaster,935,3832,50,25
speeder,6215,8445,30,20
speeder,3203,2442,30,20
speeder,7349,4948,30,20
destroyer,3228,7058,50,75
boss,7272,4846,100,75
speeder,3975,7372,30,20
speeder,1795,9526,30,20
blaster,916,6651,50,25
boss,4148,7019,100,75
boss,3899,6979,100,75
speeder,3843,2560,30,20
speeder,7396,5379,30,20
blaster,221,7025,50,25
blaster,6878,3375,50,25
blaster,2131,1744,50,25
speeder,694,8427,30,20
blaster,2320,3295,50,25
destroyer,1501,1704,50,75
destroyer,7517,1937,50,75
blaster,3431,2908,50,25
blaster,7358,5200,50,25
speeder,532,1990,30,20
blaster,5586,4092,50,25
blaster,791,4396,50,25
destroyer,5708,4779,50,75
blaster,4460,9653,50,25
speeder,5729,1873,30,20
blaster,1823,6688,50,25
speeder,3201,2181,30,20
blaster,5924,3439,50,25
blaster,5530,4733,50,25
blaster,2357,4936,50,25
blaster,6882,6907,50,25
boss,874,3486,100,75
speeder,4589,5061,30,20
speeder,4466,4307,30,20
speeder,4044,3439,30,20
destroyer,7108,6539,50,75
speeder,3678,6531,30,20
blaster,5197,6789,50,25
blaster,7612,6991,50,25
speeder,1706,5876,30,20
blaster,4703,4641,50,25
blaster,4721,2675,50,25
speeder,7413,5812,30,20
blaster,3595,2763,50,25
blaster,2950,8382,50,25
blaster,4820,2583,50,25
speeder,6755,5341,30,20
speeder,7826,3152,30,20
boss,4193,2028,100,75
boss,3306,1458,100,75
blaster,153,7643,50,25
destroyer,2850,445,50,75
speeder,5100,8768,30,20
destroyer,1411,3712,50,75
boss,5498,499,100,75
blaster,5653,9908,50,25
blaster,5773,9527,50,25
destroyer,7518,8226,50,75
boss,1375,7602,100,75
destroyer,3535,8081,50,75
blaster,3109,7299,50,25
destroyer,2692,7912,50,75
boss,7827,2355,100,75
blaster,1234,2504,50,25
speeder,6204,9379,30,20
speeder,266,3717,30,20
blaster,3430,9817,50,25
blaster,3380,5711,50,25
speeder,2706,9016,30,20
speeder,6771,7055,30,20
blaster,6888,4137,50,25
blaster,4555,111,50,25
blaster,3184,6290,50,25
boss,1243,3608,100,75
blaster,5477,3395,50,25
destroyer,1461,4141,50,75
speeder,343,5299,30,20
boss,6024,7760,100,75
boss,5180,3468,100,75
blaster,3184,7203,50,25
blaster,6205,4288,50,25
blaster,547,5498,50,25
blaster,1275,3678,50,25
speeder,6584,212,30,20
blaster,7856,7977,50,25
blaster,5520,8518,50,25
speeder,821,3374,30,20
blaster,7364,3172,50,25
boss,601,2022,100,75
speeder,5339,4507,30,20
blaster,92,549,50,25
speeder,2625,5591,30,20
boss,6191,8238,100,75
boss,59,5389,100,75
speeder,2997,7430,30,20
blaster,6077,8570,50,25
speeder,5957,5605,30,20
blaster,438,525,50,25
destroyer,3482,7081,50,75
destroyer,1682,4524,50,75
blaster,5401,7528,50,25
destroyer,2889,4450,50,75
boss,2689,513,100,75
boss,4196,3418,100,75
speeder,5717,274,30,20
boss,2968,9763,100,75
destroyer,4717,6231,50,75
blaster,866,9647,50,25
blaster,7078,6115,50,25
blaster,3141,7484,50,25
blaster,3391,8683,50,25
blaster,6246,512,50,25
blaster,1753,9560,50,25
blaster,600,6370,50,25
blaster,293,9287,50,25
blaster,7350,2818,50,25
boss,2187,4002,100,75
blaster,654,3729,50,25
